Name_Num,AFFGEOID,GEOID,NAME,Municipality,Pittsburgh Neighborhood,Total Pop 2014-2018,White Pop Rate 2014-2018,Black Pop Rate 2014-2018,Asian Pop Rate 2014-2018,His or Lat Pop Rate 2014-2018,Family Poverty Rate 2014-2018,Rate of Single Mothers 2014-2018,Rate of those 25 and up without at least Bachelor's 2014-2018,Male unemployment/unattachment rate,Average 911 Dispatches for Shots Fired per 500,Median Home Value 2014-2018,Median Gross Rent 2014-2018,CNI Z-Score,Level of Need
1005,1400000US42003100500,42003100500,1005,City of Pittsburgh,Stanton Heights,1871,28.75467664,68.51950828,1.549973276,0.481026189,8,11.28318584,61.6,20.96153846,2.030999466,105000,936,-0.122055735,Low Need
1011,1400000US42003101100,42003101100,1011,City of Pittsburgh,Upper Lawrenceville ,2705,79.66728281,15.93345656,0.665434381,1.700554529,6.4,19.71252567,53.9,13.0479103,1.959334566,118100,945,-0.234990996,Low Need
1014,1400000US42003101400,42003101400,1014,City of Pittsburgh,Morningside,3139,84.86779229,8.537750876,0.987575661,5.22459382,2.4,7.515923567,52.6,17.67109295,1.592863969,142900,933,-0.42814776,Low Need
1016,1400000US42003101600,42003101600,1016,City of Pittsburgh,Garfield,1159,6.125970664,88.95599655,0,1.380500431,42.8,52.10843373,81.8,35.8974359,7.333908542,90400,836,1.69824245,Extreme Need
1017,1400000US42003101700,42003101700,1017,City of Pittsburgh,Garfield,1486,35.32974428,54.44145357,3.97039031,1.480484522,22.5,17.78656126,73.2,25.33039648,7.402422611,62000,932,0.628696428,High Need
1018,1400000US42003101800,42003101800,1018,City of Pittsburgh,Stanton Heights,2479,77.89431222,17.30536507,0.524405002,1.048810004,4.9,2.290076336,52.1,15.59748428,1.331181928,143600,992,-0.511885143,Low Need
103,1400000US42003010300,42003010300,103,City of Pittsburgh,Bluff,6668,60.93281344,27.4895021,3.464307139,3.599280144,45.8,34.64052288,87.2,93.07450157,2.234553089,152500,1045,2.24547343,Extreme Need
1102,1400000US42003110200,42003110200,1102,City of Pittsburgh,Highland Park,4066,70.80668962,18.91293655,3.172651254,3.19724545,4,0,39.6,27.85904255,1.7461879,306200,1057,-0.467836433,Low Need
1106,1400000US42003110600,42003110600,1106,City of Pittsburgh,Highland Park,2460,79.3902439,11.42276423,2.56097561,4.06504065,11.8,4.480286738,35.1,16.18798956,4.634146341,293700,887,-0.382258766,Low Need
1113,1400000US42003111300,42003111300,1113,City of Pittsburgh,East Liberty,3052,42.98820446,40.66186107,4.030144168,4.456094364,11.2,26.57232704,51.1,19.51710262,5.439056356,226100,787,0.170553467,Moderate Need
1114,1400000US42003111400,42003111400,1114,City of Pittsburgh,Garfield ,1382,26.70043415,59.84081042,2.315484805,2.098408104,30.3,24.73867596,64.3,23.22580645,8.538350217,87900,828,0.781940365,High Need
